route_id,service_id,trip_id,trip_headsign,direction_id,block_id
129-256,JAN17B-JANDA17-Weekday-17,44818221-JAN17B-JANDA17-Weekday-17,"Hurdman",1,5272702
149-256,JAN17B-JANDA17-Weekday-17,44818222-JAN17B-JANDA17-Weekday-17,"Elmvale",0,5272004
149-256,JAN17B-JANDA17-Weekday-17,44818223-JAN17B-JANDA17-Weekday-17,"Hurdman",1,5272004
146-256,JAN17B-JANDA17-Weekday-17,44818224-JAN17B-JANDA17-Weekday-17,"South Keys",0,5272004
146-256,JAN17B-JANDA17-Weekday-17,44818225-JAN17B-JANDA17-Weekday-17,"Hurdman",1,5272004
85-256,JAN17B-JANDA17-Weekday-17,44818226-JAN17B-JANDA17-Weekday-17,"Lees",0,5272079
85-256,JAN17B-JANDA17-Weekday-17,44818227-JAN17B-JANDA17-Weekday-17,"Bayshore",1,5272079
85-256,JAN17B-JANDA17-Weekday-17,44818228-JAN17B-JANDA17-Weekday-17,"Lees",0,5272079
290-256,JAN17B-JANDA17-Weekday-17,44818229-JAN17B-JANDA17-Weekday-17,"McCarthy",0,5271955
91-256,JAN17B-JANDA17-Weekday-17,44818230-JAN17B-JANDA17-Weekday-17,"Orléans",0,5272305
282-256,JAN17B-JANDA17-Weekday-17,44818231-JAN17B-JANDA17-Weekday-17,"Pinecrest",1,5272305
151-256,JAN17B-JANDA17-Weekday-17,44818232-JAN17B-JANDA17-Weekday-17,"Tunney's Pasture",0,5271831
86-256,JAN17B-JANDA17-Weekday-17,44818233-JAN17B-JANDA17-Weekday-17,"Elmvale",0,5271831
9-256,JAN17B-JANDA17-Weekday-17,44818234-JAN17B-JANDA17-Weekday-17,"Rideau",0,5271831
9-256,JAN17B-JANDA17-Weekday-17,44818235-JAN17B-JANDA17-Weekday-17,"Hurdman",1,5271831
9-256,JAN17B-JANDA17-Weekday-17,44818236-JAN17B-JANDA17-Weekday-17,"Rideau",0,5272139
9-256,JAN17B-JANDA17-Weekday-17,44818237-JAN17B-JANDA17-Weekday-17,"Hurdman",1,5272139
9-256,JAN17B-JANDA17-Weekday-17,44818238-JAN17B-JANDA17-Weekday-17,"Rideau",0,5272139
9-256,JAN17B-JANDA17-Weekday-17,44818239-JAN17B-JANDA17-Weekday-17,"Hurdman",1,5272139
9-256,JAN17B-JANDA17-Weekday-17,44818240-JAN17B-JANDA17-Weekday-17,"Rideau",0,5272139
